latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.08466,76.80964,336.58,0.38,0.36,2024-01-17,756,N20,VIIRS,n,2,288.29,3.47,D,0
31.8857,76.68459,337.33,0.38,0.36,2024-01-17,756,N20,VIIRS,n,2,293.36,4.3,D,0
31.54354,75.59419,330.89,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,293.12,3.04,D,0
31.48129,75.62858,330.51,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,291.25,2.36,D,0
31.5944,76.71497,330.23,0.38,0.36,2024-01-17,756,N20,VIIRS,n,2,291.43,3.48,D,0
31.3294,75.78844,335.41,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,288.14,2.63,D,0
30.72252,76.34663,303.78,0.55,0.42,2024-01-17,2020,N20,VIIRS,n,2,279.18,1.26,N,0
29.99962,76.52405,329.82,0.53,0.42,2024-01-17,2020,N20,VIIRS,n,2,279.13,3.45,N,0
29.9958,76.52345,295.52,0.53,0.42,2024-01-17,2020,N20,VIIRS,n,2,277.64,0.6,N,0
32.14838,75.29352,338.35,0.4,0.44,2024-01-18,737,N20,VIIRS,n,2,291.38,3.19,D,0
32.48594,76.19923,330.88,0.71,0.75,2024-01-19,859,N20,VIIRS,n,2,294.22,6.14,D,0
32.44609,76.57144,306.49,0.35,0.56,2024-01-19,2122,N20,VIIRS,n,2,273.48,1.26,N,0
32.07209,76.79399,304.84,0.39,0.44,2024-01-20,2103,N20,VIIRS,n,2,271.43,0.99,N,0
31.66657,76.38174,329.08,0.39,0.44,2024-01-21,821,N20,VIIRS,n,2,292.02,2.41,D,0
32.47831,76.60035,304.65,0.39,0.36,2024-01-21,2044,N20,VIIRS,n,2,270.71,0.97,N,0
32.46977,76.5902,308.89,0.39,0.36,2024-01-21,2044,N20,VIIRS,n,2,274.38,1.92,N,0
32.46771,76.6027,318.63,0.39,0.36,2024-01-21,2044,N20,VIIRS,n,2,275.26,2.0,N,0
32.46576,76.59384,321.73,0.39,0.36,2024-01-21,2044,N20,VIIRS,n,2,274.22,2.2,N,0
31.32935,76.89629,299.59,0.4,0.37,2024-01-21,2044,N20,VIIRS,n,2,280.53,0.91,N,2
32.4704,76.61439,329.14,0.4,0.37,2024-01-22,802,N20,VIIRS,n,2,296.42,1.95,D,0
30.14828,74.22734,339.15,0.4,0.37,2024-01-22,802,N20,VIIRS,n,2,289.67,3.9,D,0
29.99107,73.62449,325.15,0.41,0.37,2024-01-22,802,N20,VIIRS,n,2,287.71,2.16,D,0
