date,AQI,PM2.5,PM10,NO2,SO2,CO,Ozone,fire_count,total_frp,mean_frp,max_frp,mean_wind_kmh,std_wind_kmh,total_frp_lag1,fire_count_lag1,mean_wind_lag1,fire_count_fw,total_frp_fw,weighted_frp_fw,mean_dist_km,min_dist_km,mean_bearing_deg,mean_wind_dir_deg,mean_wind_dir_cos,mean_wind_dir_sin,weighted_frp_lag1,fire_wind_ang_diff,fire_wind_alignment,fire_wind_alignment01,weighted_frp_aligned
2024-06-20,173,54.47,126.55,51.43,33.14,0.82,80.74,139.0,911.41,6.556906474820145,34.79,1.626521739130435,1.1173125577825822,6120.7,652.0,2.35,139.0,911.4100000000001,2.9106455268691604,352.57829765539424,663.9767880151181,146.27000699943517,288.2723002507035,0.07402385914381562,-0.2241909871702654,21.092487461821683,142.00229325126833,-0.7880353946938359,0.10598230265308206,0.30847691514448683
2024-06-21,163,75.64,182.23,52.63,33.03,1.11,52.8,66.0,354.42,5.37,30.36,1.08125,0.6064028830090924,911.41,139.0,1.626521739130435,66.0,354.42,1.4345671044266308,358.1744672614248,625.5592888871824,152.19914320375244,288.2723002507035,0.07402385914381562,-0.2241909871702654,2.9106455268691604,136.07315704695105,-0.7202261753067383,0.13988691234663087,0.20067716279228814
2024-06-22,169,84.39,172.96,54.91,32.99,1.33,56.11,222.0,1000.29,4.505810810810811,12.84,1.312,0.6740810508817873,354.42,66.0,1.08125,222.0,1000.29,2.9375829727046154,386.5317591214327,597.3505865625357,148.47488525651386,288.2723002507035,0.07402385914381562,-0.2241909871702654,1.4345671044266308,139.79741499418964,-0.7637669068314924,0.1181165465842538,0.3469771560405755
2024-06-23,155,76.36,145.92,54.21,33.04,1.23,59.68,692.0,3729.8,5.389884393063584,77.92,1.9878260869565216,0.8799636176453243,1000.29,222.0,1.312,692.0,3729.8,13.010506300766826,332.82236047797505,176.74835512820658,153.49213177880483,288.2723002507035,0.07402385914381562,-0.2241909871702654,2.9375829727046154,134.78016847189866,-0.7043885672615654,0.1478057163692173,1.923027204111056
2024-06-24,116,62.69,127.83,52.71,33.27,1.18,55.03,217.0,1281.0500000000002,5.903456221198158,24.56,1.57,0.9894580702219132,3729.8,692.0,1.9878260869565216,217.0,1281.0500000000002,3.192986637163024,413.3402980480307,666.0134404901986,147.38567453602172,288.2723002507035,0.07402385914381562,-0.2241909871702654,13.010506300766826,140.88662571468177,-0.7758991702271949,0.11205041488640255,0.35777547742085614
2024-06-25,158,83.78,149.67,52.5,33.84,1.24,53.22,368.0,2121.99,5.766277173913043,27.43,1.1604347826086958,0.5628376018070445,1281.0500000000002,217.0,1.57,368.0,2121.99,6.6154369282256305,347.3835306493349,370.0912711539429,147.32298287400386,288.2723002507035,0.07402385914381562,-0.2241909871702654,3.192986637163024,140.94931737669964,-0.7765889740972213,0.11170551295138936,0.7389807754650076
2024-06-26,146,60.63,111.43,52.0,34.95,1.13,40.56,142.0,805.3199999999999,5.671267605633802,14.09,1.803478260869565,1.3472753943208091,2121.99,368.0,1.1604347826086958,142.0,805.3199999999999,2.6700882646212944,324.7247312592447,737.8922553604605,149.87427540737633,288.2723002507035,0.07402385914381562,-0.2241909871702654,6.6154369282256305,138.39802484332716,-0.74777520253438,0.12611239873281,0.33673123587971737
2024-06-27,75,45.35,68.22,49.09,34.34,0.89,29.85,18.0,152.61,8.478333333333333,36.71,1.695,1.077723042586424,805.3199999999999,142.0,1.803478260869565,18.0,152.61,0.4711770366462654,314.050100170276,666.6281017429927,118.65842229276501,288.2723002507035,0.07402385914381562,-0.2241909871702654,2.6700882646212944,169.61387795793848,-0.9836151665965915,0.00819241670170423,0.003860078624480371
2024-06-28,192,203.38,305.14,55.51,36.08,1.12,34.26,323.0,1441.53,4.462941176470588,15.79,1.7308333333333332,0.9645720685165616,152.61,18.0,1.695,323.0,1441.53,4.730004436927997,325.9123519497522,278.7616363248235,144.87753581068648,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.4711770366462654,143.394764440017,-0.8027629901460052,0.09861850492699742,0.46646596586790334
2024-06-29,192,1000.0,391.0,52.22,35.74,1.23,28.38,16.0,68.9,4.30625,5.67,1.2269230769230768,0.643005762226444,1441.53,323.0,1.7308333333333332,16.0,68.9,0.36110875053166,308.785504861933,274.5591880853069,159.78494135831625,288.2723002507035,0.07402385914381562,-0.2241909871702654,4.730004436927997,128.48735889238725,-0.622341955472827,0.1888290222635865,0.06818781229371873
2024-06-30,186,58.0,149.27,49.06,35.04,1.0,31.46,6.0,21.76,3.6266666666666665,4.8,1.81,0.8400148808205722,68.9,16.0,1.2269230769230768,6.0,21.759999999999998,0.04649540615930084,512.7309191139193,1328.6430506615734,139.5257675717732,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.36110875053166,148.7465326789303,-0.8548804749374272,0.07255976253128638,0.003373695629714579
2024-07-01,85,55.0,85.25,49.12,35.33,0.82,30.33,16.0,54.23,3.389375,7.53,1.3966666666666665,0.7623400283604289,21.76,6.0,1.81,16.0,54.230000000000004,0.15636055595381587,351.8440417507951,503.8719883443183,147.6977849074213,288.2723002507035,0.07402385914381562,-0.2241909871702654,0.04649540615930084,140.5745153432822,-0.7724511745415433,0.11377441272922834,0.01778983042766105
