date,avg_aqi,mean_temp,humidity,mean_wind_kmh,std_wind_kmh,fire_count,total_frp
2021-02-01,400.0,,,,,1594.0,8827.44
2021-02-02,408.0,,,,,1948.0,10796.29
2021-02-03,367.0,,,,,2499.0,11794.83
2021-02-04,352.0,,,,,2598.0,13696.710000000001
2021-02-05,142.0,,,,,2043.0,9356.06
2021-02-06,261.0,,,,,1677.0,8856.77
2021-02-07,279.0,,,,,1798.0,7607.08
2021-02-08,375.0,,,,,2486.0,13419.78
2021-02-09,385.0,,,,,2369.0,13873.34
2021-02-10,359.0,,,,,2555.0,14469.09
2021-02-11,370.0,,,,,1643.0,7334.13
2021-02-12,310.0,,,,,1593.0,10146.92
2021-02-13,319.0,,,,,2128.0,11914.35
2021-02-14,371.0,,,,,1461.0,7664.97
2021-02-15,335.0,,,,,2236.0,10820.69
2021-02-16,344.0,,,,,1535.0,14357.78
2021-02-17,367.0,,,,,1342.0,7468.73
2021-02-18,335.0,,,,,1264.0,7976.73
2021-02-19,340.0,,,,,697.0,3506.9
2021-02-20,293.0,,,,,1259.0,4624.37
2021-02-21,356.0,,,,,1692.0,6299.16
2021-02-22,352.0,,,,,1781.0,15471.97
2021-02-23,339.0,,,,,2374.0,17500.54
2021-02-24,350.0,,,,,2745.0,14328.41
2021-02-25,337.0,,,,,3729.0,19911.43
2021-02-26,295.0,,,,,4964.0,22216.38
2021-02-27,225.0,,,,,4781.0,26021.8
2021-02-28,235.0,,,,,3904.0,21729.84
2021-03-01,187.0,,,,,4831.0,41819.04
2021-03-02,227.0,,,,,6715.0,38088.420000000006
2021-03-03,259.0,,,,,10111.0,70445.43
2021-03-04,276.0,,,,,11033.0,60086.86
2021-03-05,290.0,,,,,10396.0,82938.45
2021-03-06,257.0,,,,,10487.0,63026.06
2021-03-07,270.0,,,,,11641.0,53712.79
2021-03-08,227.0,,,,,10091.0,59414.58
2021-03-09,297.0,,,,,7249.0,62507.21
2021-03-10,205.0,,,,,4462.0,36985.11
2021-03-11,262.0,,,,,4016.0,58163.42
2021-03-12,203.0,,,,,4017.0,50716.53
2021-03-13,236.0,,,,,7796.0,101700.19
2021-03-14,251.0,,,,,7081.0,37348.7
2021-03-15,219.0,,,,,7723.0,130656.63
2021-03-16,277.0,,,,,6526.0,60207.71
2021-03-17,352.0,,,,,4965.0,51764.22
2021-03-18,313.0,,,,,6640.0,55707.0
2021-03-19,298.0,,,,,7178.0,53951.19
2021-03-20,264.0,,,,,6668.0,51439.65
2021-03-21,316.0,,,,,5387.0,31866.0
2021-03-22,283.0,,,,,7035.0,77291.74
2021-03-23,232.0,,,,,6999.0,71742.73
2021-03-24,177.0,,,,,12729.0,63453.98
2021-03-25,194.0,,,,,14196.0,81680.51
2021-03-26,221.0,,,,,13271.0,77122.87
2021-03-27,268.0,,,,,13434.0,111373.39
2021-03-28,268.0,,,,,11467.0,67037.51
2021-03-29,215.0,,,,,15951.0,101344.12
2021-03-30,248.0,,,,,20898.0,111231.64
2021-03-31,152.0,,,,,18225.0,89395.93
2021-04-01,231.0,,,,,12636.0,71027.04
2021-04-02,197.0,,,,,13103.0,77376.68
2021-04-03,159.0,,,,,12263.0,58385.05
2021-04-04,198.0,,,,,11115.0,56716.29
2021-04-05,188.0,,,,,9289.0,70086.21
2021-04-06,377.0,,,,,6658.0,45750.53
2021-04-07,304.0,,,,,5113.0,38494.36
2021-04-08,152.0,,,,,4594.0,28744.51
2021-04-09,157.0,,,,,4597.0,28453.59
2021-04-10,189.0,,,,,4298.0,23425.89
2021-04-11,181.0,,,,,4075.0,24787.52
2021-04-12,226.0,,,34.800000000000004,4.133763418484416,3833.0,25867.51
2021-04-13,279.0,,,36.06956521739131,6.814585612867351,5431.0,40686.27
2021-04-14,214.0,,,37.32173913043478,7.143653033016535,3479.0,24221.84
2021-04-15,235.0,,,35.80869565217392,5.188616302101635,3323.0,14204.66
2021-04-16,232.0,,,27.080000000000002,2.2235107375499585,3962.0,21895.579999999998
2021-04-17,142.0,,,0.0,0.0,2945.0,16220.1
2021-04-18,161.0,,,,,4000.0,28957.72
2021-04-19,212.0,,,,,5178.0,41092.51
2021-04-20,178.0,,,,,3100.0,24202.690000000002
2021-04-21,132.0,,,,,1653.0,11274.66
2021-04-22,152.0,,,,,2271.0,12186.81
2021-04-23,112.0,,,,,2764.0,17300.21
