date,AQI,fire_count,frp_sum,frp_max,AQI_7d,fire_7d,wind_mean_kmh,wind_median_kmh,lag_days_est,fire_count_transport_shifted
2022-08-20,69,2,5.3100000000000005,4.23,68.42857142857143,2.857142857142857,5.64375,0.0,2,1
2022-08-21,93,6,10.620000000000001,5.12,68.85714285714286,2.4285714285714284,5.694791666666666,0.0,2,0
2022-08-22,93,5,7.24,2.26,73.0,2.5714285714285716,5.762499999999999,0.2,2,2
2022-08-23,69,3,3.1799999999999997,1.21,79.57142857142857,2.5714285714285716,5.933333333333333,0.30000000000000004,2,6
2022-08-24,51,0,0.0,0.0,82.85714285714286,2.2857142857142856,6.101041666666666,0.7,2,5
2022-08-25,77,2,3.31,2.83,84.71428571428571,1.5714285714285714,5.711458333333333,0.0,2,3
2022-08-26,105,0,0.0,0.0,90.0,4.571428571428571,5.6875,0.0,2,0
2022-08-27,92,0,0.0,0.0,95.85714285714286,4.714285714285714,5.7749999999999995,0.0,2,2
2022-08-28,106,1,2.48,2.48,104.28571428571429,4.714285714285714,5.6656249999999995,0.0,2,0
2022-08-29,130,26,120.17999999999999,16.81,109.28571428571429,4.571428571428571,5.644791666666666,0.0,2,0
2022-08-30,110,4,18.13,9.24,109.14285714285714,4.714285714285714,4.486315789473684,0.0,2,1
2022-08-31,110,0,0.0,0.0,111.14285714285714,5.0,3.345833333333333,0.0,3,1
2022-09-01,112,1,2.57,2.57,108.14285714285714,6.0,5.175531914893616,0.0,2,4
2022-09-02,104,1,6.35,6.35,101.28571428571429,2.4285714285714284,3.844791666666666,0.0,3,4
2022-09-03,106,2,6.1,3.64,96.0,2.2857142857142856,3.0593749999999997,0.0,3,0
2022-09-04,85,8,34.93,9.37,98.0,3.5714285714285716,1.7104166666666665,0.0,3,1
2022-09-05,82,1,0.72,0.72,113.71428571428571,3.7142857142857144,1.0202247191011236,0.1,3,1
2022-09-06,73,3,5.640000000000001,2.91,120.28571428571429,4.285714285714286,1.4482758620689655,0.0,3,2
2022-09-07,124,9,25.080000000000002,7.87,118.85714285714286,4.714285714285714,1.8643835616438356,0.0,3,8
2022-09-08,222,2,4.48,2.34,117.0,4.285714285714286,1.0042105263157894,0.0,3,1
2022-09-09,150,5,15.07,5.81,116.14285714285714,5.857142857142857,0.771578947368421,0.0,3,3
2022-09-10,96,5,6.03,2.32,114.71428571428571,8.428571428571429,0.8270833333333334,0.0,3,9
2022-09-11,72,5,7.72,2.3,106.14285714285714,7.142857142857143,1.0076923076923077,0.4,3,2
2022-09-12,76,12,45.050000000000004,8.82,83.28571428571429,7.285714285714286,0.7903225806451613,0.1,3,5
2022-09-13,63,21,100.25,10.66,69.57142857142857,6.714285714285714,0.7572916666666667,0.0,3,5
2022-09-14,64,0,0.0,0.0,63.57142857142857,7.0,0.8989583333333333,0.0,3,5
2022-09-15,62,3,43.21,21.85,66.42857142857143,10.571428571428571,0.9020833333333332,0.0,3,12
2022-09-16,54,1,3.16,3.16,75.57142857142857,11.0,0.7572916666666667,0.0,3,21
2022-09-17,54,7,21.38,8.18,85.28571428571429,10.857142857142858,0.765625,0.0,3,0
2022-09-18,92,30,134.24,12.69,88.14285714285714,15.285714285714286,2.3655555555555554,0.0,3,3
2022-09-19,140,15,73.38,15.09,86.57142857142857,20.285714285714285,1.049438202247191,0.0,3,1
2022-09-20,131,20,114.28,9.88,83.28571428571429,20.285714285714285,1.0260869565217392,0.0,3,7
2022-09-21,84,31,140.99,9.63,80.85714285714286,19.285714285714285,1.167857142857143,0.0,3,30
2022-09-22,51,38,213.86,12.46,71.14285714285714,15.0,1.1445945945945946,0.0,3,15
2022-09-23,31,1,10.84,10.84,60.57142857142857,13.428571428571429,1.074025974025974,0.0,3,20
2022-09-24,37,0,0.0,0.0,52.57142857142857,11.285714285714286,1.484375,0.2,3,31
2022-09-25,24,0,0.0,0.0,56.0,7.428571428571429,1.0903225806451613,0.1,3,38
2022-09-26,66,4,96.59,71.26,66.42857142857143,3.4285714285714284,0.9239130434782609,0.0,3,1
2022-09-27,75,5,16.82,7.15,81.0,4.571428571428571,0.9472527472527473,0.0,3,0
2022-09-28,108,4,11.16,8.25,95.57142857142857,8.142857142857142,0.7000000000000001,0.0,3,0
2022-09-29,124,10,23.74,4.35,112.28571428571429,21.0,1.0329113924050635,0.0,3,4
2022-09-30,133,9,48.95,14.59,118.14285714285714,36.857142857142854,0.9473118279569893,0.0,3,5
2022-10-01,139,25,108.48,9.04,124.28571428571429,65.57142857142857,1.018888888888889,0.0,3,4
2022-10-02,141,90,337.71,8.72,130.28571428571428,92.14285714285714,1.1247058823529412,0.0,3,10
2022-10-03,107,115,545.01,13.08,128.14285714285714,101.0,1.1224719101123597,0.0,3,9
2022-10-04,118,206,858.62,17.91,114.14285714285714,101.71428571428571,1.3337837837837838,0.0,3,25
2022-10-05,150,190,756.66,20.97,105.85714285714286,101.42857142857143,1.101219512195122,0.0,3,90
2022-10-06,109,72,358.21,12.1,100.0,97.42857142857143,1.3094594594594595,0.05,3,115
2022-10-07,35,14,52.94,5.76,87.42857142857143,84.14285714285714,1.4013333333333335,0.5,3,206
2022-10-08,81,23,111.06,7.65,77.0,59.714285714285715,1.3644736842105263,0.4,3,190
2022-10-09,100,62,295.49,11.69,69.0,41.42857142857143,1.3645569620253166,0.4,3,72
2022-10-10,19,22,82.9,9.93,67.28571428571429,47.857142857142854,1.2640625,0.2,3,14
2022-10-11,45,35,127.83,9.99,78.71428571428571,68.14285714285714,1.288888888888889,0.0,3,23
2022-10-12,94,62,275.03000000000003,12.82,86.85714285714286,122.42857142857143,1.2791666666666668,0.0,3,62
2022-10-13,97,117,578.18,16.86,98.85714285714286,168.42857142857142,1.2662162162162163,0.0,3,22
2022-10-14,115,156,835.83,34.06,122.57142857142857,197.57142857142858,1.327027027027027,0.0,3,35
2022-10-15,138,403,1834.86,21.9,144.71428571428572,242.28571428571428,1.2722222222222224,0.0,3,62
2022-10-16,184,384,2093.39,26.72,141.85714285714286,301.14285714285717,3.156338028169014,0.0,3,117
2022-10-17,185,226,1250.86,21.32,142.42857142857142,348.42857142857144,4.939436619718309,0.0,2,403
2022-10-18,200,348,1652.11,21.38,161.14285714285714,404.42857142857144,5.476056338028168,0.0,2,384
2022-10-19,74,474,2939.67,46.11,178.85714285714286,415.42857142857144,5.477777777777778,0.1,2,226
2022-10-20,101,448,2386.61,45.42,191.71428571428572,488.42857142857144,6.018055555555555,0.2,2,348
2022-10-21,246,548,2843.6,62.32,209.14285714285714,616.8571428571429,6.516666666666667,0.1,2,474
2022-10-22,262,480,3015.11,43.66,221.85714285714286,783.0,7.350704225352112,0.0,1,548
2022-10-23,274,895,5130.95,41.48,252.0,896.1428571428571,6.32361111111111,0.0,2,548
2022-10-24,307,1125,8244.21,65.04,291.2857142857143,976.2857142857143,7.354929577464787,0.0,1,895
2022-10-25,289,1511,9984.95,107.99,312.14285714285717,1077.142857142857,7.597222222222222,0.15000000000000002,1,1125
2022-10-26,285,1266,7032.6,56.69,335.2857142857143,1287.0,10.36153846153846,0.30000000000000004,1,1511
2022-10-27,376,1009,6016.23,48.6,350.57142857142856,1556.7142857142858,6.880281690140844,0.0,1,1266
2022-10-28,392,1254,7882.89,39.23,365.14285714285717,1793.7142857142858,14.31111111111111,22.4,1,1009
2022-10-29,424,1949,12745.0,76.56,385.85714285714283,1911.5714285714287,7.191549295774648,0.0,1,1254
2022-10-30,381,2783,21624.29,72.82,400.85714285714283,1950.142857142857,7.319718309859154,0.0,1,1949
2022-10-31,409,2784,16484.47,68.02,412.2857142857143,2164.0,7.3056338028169,0.0,1,2783
2022-11-01,434,2336,18765.67,105.02,420.7142857142857,2478.0,7.593055555555555,0.1,1,2784
2022-11-02,390,1536,11223.21,50.9,413.85714285714283,2837.0,22.399999999999995,22.4,0,1536
2022-11-03,456,2506,16560.83,46.97,412.0,2679.0,7.291549295774647,0.0,1,1536
2022-11-04,451,3452,25097.48,131.31,406.14285714285717,2415.285714285714,7.486111111111111,0.0,1,2506
2022-11-05,376,4462,29686.66,82.02,401.7142857142857,2106.1428571428573,22.4,22.4,0,4462
2022-11-06,368,1677,11010.53,66.45,387.7142857142857,2160.1428571428573,0.5,0.15000000000000002,3,2506
2022-11-07,368,938,7403.52,56.54,367.57142857142856,2280.285714285714,0.075,0.0,3,3452
2022-11-08,403,172,1076.15,24.94,351.7142857142857,2307.8571428571427,0.06875,0.0,3,4462
2022-11-09,292,1914,15697.84,91.06,339.2857142857143,1976.0,10.961702127659573,0.0,1,172
2022-11-10,315,3347,23608.33,71.77,322.2857142857143,1979.142857142857,0.0,0.0,3,938
2022-11-11,340,3645,23576.27,106.85,315.2857142857143,1846.5714285714287,0.16091954022988506,0.0,3,172
2022-11-12,289,2139,14996.82,117.3,286.2857142857143,1874.5714285714287,0.13943661971830987,0.0,3,1914
2022-11-13,249,1699,12106.44,80.89,274.7142857142857,1825.0,0.39577464788732397,0.0,3,3347
2022-11-14,319,10,119.1,24.72,258.7142857142857,1488.2857142857142,0.11549295774647886,0.0,3,3645
2022-11-15,200,368,2365.21,115.69,248.42857142857142,1047.0,0.05694444444444445,0.0,3,2139
2022-11-16,211,1567,9243.66,60.8,244.71428571428572,835.7142857142857,0.0,0.0,3,1699
2022-11-17,203,990,7322.92,61.5,248.85714285714286,662.1428571428571,0.17285714285714285,0.0,3,10
2022-11-18,268,556,3369.5,71.69,238.42857142857142,714.4285714285714,0.0625,0.0,3,368
2022-11-19,263,660,3993.47,40.85,238.85714285714286,698.7142857142857,0.16170212765957445,0.0,3,1567
2022-11-20,278,484,3037.95,48.67,240.28571428571428,489.2857142857143,0.16944444444444443,0.0,3,990
2022-11-21,246,376,1995.49,52.9,242.0,363.2857142857143,3.8399999999999994,0.0,3,556
2022-11-22,203,258,1441.32,36.4,247.42857142857142,294.0,7.466197183098592,0.5,1,376
2022-11-23,221,101,758.01,25.56,252.14285714285714,212.85714285714286,10.538775510204081,0.3,1,258
2022-11-24,215,108,1016.0600000000001,78.8,253.57142857142858,156.57142857142858,7.018571428571428,0.0,1,101
2022-11-25,306,71,402.59000000000003,24.76,262.42857142857144,109.71428571428571,0.17916666666666667,0.0,3,258
2022-11-26,296,92,491.51,36.43,284.85714285714283,77.0,6.688571428571429,0.0,1,71
2022-11-27,288,90,382.17,27.61,308.85714285714283,67.85714285714286,0.03125,0.0,3,108
2022-11-28,308,48,617.04,50.45,329.2857142857143,54.857142857142854,0.004166666666666667,0.0,3,71
2022-11-29,360,29,118.88,13.27,340.7142857142857,46.714285714285715,4.4180851063829785,0.0,2,90
2022-11-30,389,37,309.47999999999996,93.16,357.14285714285717,37.42857142857143,7.1,0.0,1,29
2022-12-01,358,17,83.05,20.81,374.2857142857143,26.285714285714285,10.002127659574468,0.6,1,37
2022-12-02,386,14,33.3,6.54,376.57142857142856,22.285714285714285,6.835714285714285,0.0,1,17
2022-12-03,411,27,87.99,6.07,370.2857142857143,22.428571428571427,0.020833333333333332,0.0,3,37
2022-12-04,408,12,35.32,7.46,346.7142857142857,20.714285714285715,0.13541666666666666,0.0,3,17
2022-12-05,324,20,69.87,7.42,325.42857142857144,19.571428571428573,7.045070422535211,0.0,1,12
2022-12-06,316,30,154.58,63.99,307.42857142857144,19.714285714285715,10.815217391304346,1.05,1,20
2022-12-07,224,25,118.13,19.99,297.7142857142857,18.428571428571427,10.995744680851063,1.0,1,30
2022-12-08,209,9,21.86,4.41,267.7142857142857,19.571428571428573,0.3,0.0,3,20
2022-12-09,260,15,57.12,8.18,247.42857142857142,21.142857142857142,10.98936170212766,0.5,1,9
2022-12-10,343,18,50.19,5.82,224.14285714285714,27.142857142857142,6.897222222222222,0.0,1,15
2022-12-11,198,20,110.25,10.87,215.14285714285714,28.285714285714285,5.484210526315789,0.0,2,15
2022-12-12,182,31,105.58,11.2,208.42857142857142,32.0,5.306382978723404,0.0,2,18
2022-12-13,153,72,341.12,21.63,200.71428571428572,37.857142857142854,5.561052631578947,0.0,2,20
2022-12-14,161,33,138.91,21.0,196.57142857142858,40.714285714285715,5.489473684210527,0.0,2,31
2022-12-15,162,35,200.87,25.11,213.85714285714286,44.142857142857146,4.712765957446808,0.0,2,72
2022-12-16,206,56,457.93,72.66,238.42857142857142,44.0,4.934408602150538,0.0,2,33
